cdobstecou;nomprincip;ouv_coord_x;ouv_coord_y;ouv_type_nom;ouv_usage_energie_hydro;ouv_usages;ouv_etat;ouv_liaison;ouv_ouvrage_lie;demarche_priorisation_1;demarche_priorisation_2;demarche_priorisation_3;demarche_priorisation_4;demarche_priorisation_5;demarche_priorisation_6;demarche_priorisation_7;demarche_priorisation_8;demarche_priorisation_9;niveau_priorisation;commentaire_principal;ouv_hauteur_chute_1;ouv_date_hauteur_chute_1;ouv_operateur_hauteur_chute_1;ouv_precision_hauteur_chute_1;ouv_hauteur_chute_2;ouv_date_hauteur_chute_2;ouv_operateur_hauteur_chute_2;ouv_precision_hauteur_chute_2;ouv_hauteur_chute_3;ouv_date_hauteur_chute_3;ouv_operateur_hauteur_chute_3;ouv_precision_hauteur_chute_3;ouv_hauteur_chute_4;ouv_date_hauteur_chute_4;ouv_operateur_hauteur_chute_4;ouv_precision_hauteur_chute_4;ouv_hauteur_chute_5;ouv_date_hauteur_chute_5;ouv_operateur_hauteur_chute_5;ouv_precision_hauteur_chute_5;hauteur_chute_ICE;ouv_arasement;ouv_date_arasement;conformite_arasement;ouv_derasement;ouv_date_derasement;conformite_ derasement;dispo_franch_piscicole_1;date_mes_dispo_franch_piscicole_1;dispo_franch_piscicole_2;date_mes_dispo_franch_piscicole_2;dispo_franch_piscicole_3;date_mes_dispo_franch_piscicole_3;dispo_franch_piscicole_4;date_mes_dispo_franch_piscicole_4;dispo_franch_piscicole_5;date_mes_dispo_franch_piscicole_5;mesure_corrective_montaison_gestion;mesure_corrective_montaison_equipement;interet_montaison;conformite_montaison;mesure_corrective_devalaison_gestion;mesure_corrective_devalaison_equipement;mesure_corrective_devalaison_turbine;interet_devalaison;conformite_devalaison;mesure_corrective_sediment_gestion;mesure_corrective_sediment_equipement;mesure_corrective_sediment_recharge;mesure_corrective_commentaire;avis_technique_global;commentaire_avis_technique;note_appreciation_montaison_anguille;date_appreciation_montaison_anguille;note_appreciation_montaison_saumon_atlantique;date_appreciation_montaison_saumon_atlantique;note_appreciation_montaison_grande_alose;date_appreciation_montaison_grande_alose;note_appreciation_montaison_alose_feinte;date_appreciation_montaison_alose_feinte;note_appreciation_montaison_lamproie_marine;date_appreciation_montaison_lamproie_marine;note_appreciation_montaison_truite_fario;date_appreciation_montaison_truite_fario;avis_devalaison_anguille;avis_devalaison_saumon_atlantique;avis_continuite_sedimentaire;date_debut_activite;date_fin_activite;variabilité_debit_reserve;debit_reserve;debit_reserve_ICE;debit_minimal_montaison;debit_minimal_devalaison;debit_alimentation_ICE;debit_maximal_autorisé;debit_preleve_ICE;commentaire_debit;longueur_troncon_cc;longueur_troncon_cc_ICE;ecartement_grille;espace_interbarreaux_ICE;cote_retenue_basse;cote_retenue_haute;classement_liste_1;classement_liste_2;date_arrete_classement;especes_cibles;statut_sdage_1;statut_sdage_2;statut_sdage_3;statut_administratif;date_fin_acte;existence_reglement_eau;surface_bv_amont;source_surface_bv;module_cours_d_eau;source_module;surface_bv_amont_irstea;module_cours_d_eau_irstea;robustesse_irstea;altitude;ouvrage_mer;lineaire_aval;surface_retenue;source_surface_retenue;volume_retenue;source_volume_retenue;longueur_remous;source_longueur_remous;chute_naturelle_amont;chute_naturelle_aval;commentaire_contexte;nom_cours_d_eau_topo;commune;departement;code_cours_eau;code_zone_hydro;code_sous_secteur_hydro;nom_bassin_hydro;code_masse_eau;statut_roe
ROE3149;L'Evêché;171034.68;6789853.18;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;338.00;7.486;Robuste;5;false;19.44;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3151;La gare ;171658.39;6789905.14;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Truite de mer"",""Alose feinte "",""Lamproie marine"",""Anguille";;;;;;Non;;;;;329.00;7.295;Robuste;5;false;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3152;Dourguen;173111.24;6789576.87;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Anguille"",""Alose feinte "",""Truite de mer";;;;;;Non;;;;;;;;7;;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3155;Laiterie Entremont;172990.68;6789672.43;Seuil en rivière;Non;Industrie;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.27;;;;;;;;;;;;;;;;;;;;0.27;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.00;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Alose feinte "",""Anguille"",""Truite de mer";;;;;;Non;;;;;;;;7;;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3157;Moulin de St-Denis;173531.55;6789907.46;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;PGA;;;;;;;;;0.00;2017-12-31;AFB;SD29;0.00;;;;;;;;;;;;;;;;1.50;;;;true;2017-10-02;Validée conforme au projet;Passe à bassins successifs;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;0;2017-10-03;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Alose feinte "",""Lamproie marine"",""Saumon atlantique"",""Truite de mer";;;;;;Non;;;;;;;;8;;23.06;;;;;;;;;;NR;ERGUE-GABERIC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3159;Moulin de Penhoat;173948.35;6791281.72;Seuil en rivière;Oui;;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.50;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Alose feinte "",""Anguille"",""Truite de mer"",""Lamproie marine";;;;;;Non;;;;;;;;15;;31.20;;;;;;;;;;l'odet;QUIMPER;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3161;Meil Poul;174825.51;6793250.35;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Lamproie marine"",""Anguille"",""Alose feinte "",""Truite de mer";;;;;;Non;;;;;;;;45;;31.20;;;;;;;;;;l'odet;QUIMPER;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3162;Coat Glaz Izella;175052.77;6793708.24;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Anguille"",""Alose feinte "",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;197.00;4.613;Robuste;48;false;31.20;;;;;;;;;;l'odet;ERGUE-GABERIC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3164;Moulin de Moguéric;177120.91;6793126.87;Seuil en rivière;Non;Loisirs et sports aquatiques;Existant;;;PAPARCE;;PGA;PLAGEPOMI;;;;;;;En 2020 une petite brèche est créée en partie amont du déversoir pour permettre le franchissement de l'ouvrage lors des étiages. L'ouvrage se délabre toujours davantage.;0.90;;;;;;;;;;;;;;;;;;;;1.21;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;;;;57;;31.20;;;;;;;;;;l'odet;BRIEC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3165;Gougastel pont de la route;177310.31;6793358.97;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Truite de mer";;;;;;Non;;;;;187.00;4.395;Robuste;60;false;34.15;;;;;;;;;;l'odet;BRIEC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3166;Odet;177437.54;6793346.72;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;187.00;4.395;Robuste;60;false;34.15;;;;;;;;;;l'odet;BRIEC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3171;Coat Piriou (Papeterie);178425.35;6793543.65;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;GRENELLE;PGA;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;1.08;false;;;true;2014-09-22;Validée conforme au projet;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;2;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Alose feinte "",""Anguille"",""Truite de mer"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;;;;65;;34.15;;;;;;;;;;l'odet;ERGUE-GABERIC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3176;Moulin de Kergonan;180131.62;6793992.27;Seuil en rivière;;;Existant;;;;;;;;;;;;;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;69;;35.71;;;;;;;;;;l'odet;ERGUE-GABERIC;29;J4200190;J420;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3180;Moulin du Stang;186065.52;6795612.06;Seuil en rivière;Non;Activités aquacoles;Existant;;;;;;;;;;;;;Un projet de restauration dela continuité écologique est en cours (avril 2022);1.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Oui;;;Non;Oui;Non;;;Non;Non;Non;;Négatif;;;;;;;;;;;;;;;;;;;Fixe;0.260;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;"Autorisation hors hydroélectricité"",""Droit fondé en titre";;Oui;;;;;108.00;2.519;Robuste;78;;43.05;;;;;;;;;;l'odet;CORAY;29;J4200190;J420;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3182;Moulin de Goaillou;191285.74;6799808.69;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;99;;50.84;;;;;;;;;;l'odet;CORAY;29;J4200190;J420;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3184;Moulin à Papier;192329.42;6800349.97;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;100;;51.62;;;;;;;;;;l'odet;LEUHAN;29;J4200190;J420;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3189;RD 20;164615.00;6780677.06;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;GRENELLE;PGA;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.20;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Anguille"",""Truite de mer";;;;;;Non;;;;;;;;2;;7.94;;;;;;;;;;ruisseau du corroac'h;PLOMELIN;29;J4424900;J442;J44;LOIRE-BRETAGNE;FRGR1635;Validé point par point
ROE3191;Moulin Mer ;164612.64;6780945.81;Seuil en rivière;Non;Activités aquacoles;Existant;;;;;;;;;;;;;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;Incertain;"Diagnostic réalisé le 18/12/2017 (débit estimé à 0,317 m³/s).
Pas de problème de franchissement pour l'ensemble des espèces ciblées; Pour les faibles débits, il est probable que le franchissement soit difficile. L'AFB a recommandé l'étude de l'implantation d'un pré-barrage.
Partition des débits à étudier : la cote du bras d'amenée ne permet pas de garantir le respect du DMR ;
Système de dévalaison non-conforme.
";;;;;;;;;;;;;;;;;;Fixe;0.070;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Saumon atlantique"",""Lamproie marine"",""Truite de mer";;;;Autorisation hors hydroélectricité;;Non;37.50;Estimation Qgis;0.695;Méthode surface BV;37.00;0.548;Robuste;6;;8.89;;;;;;;;;;NR;PLOMELIN;29;J4424900;J442;J44;LOIRE-BRETAGNE;FRGR1635;Validé point par point
ROE3193;Moulin de Kerran ;164957.73;6781340.60;Seuil en rivière;Non;Loisirs et sports aquatiques;Existant;;;;;;;;;;;;;;0.70;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Saumon atlantique"",""Truite de mer"",""Lamproie marine";;;;;;Non;;;;;;;;22;;8.89;;;;;;;;;;ruisseau du corroac'h;COMBRIT;29;J4424900;J442;J44;LOIRE-BRETAGNE;FRGR1635;Validé point par point
ROE3194;Etang du Corroac'h;164333.07;6782694.59;Barrage;Non;Aucun;Existant;;;;;;;;;;;;;Abaissement de l'ouvrage et aménagement d'une rampe à rangées périodiques.;3.00;;;;;;;;;;;;;;;;;;;;;true;2016-11-24;Validée conforme au projet;false;;;Rampe;2016-11-01;;;;;;;;;Non;Oui;Oui;Validée conforme au projet;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Saumon atlantique"",""Lamproie marine"",""Anguille";;;;;;Non;;;;;32.00;0.487;Robuste;27;;10.94;;;;;;;;;;ruisseau du corroac'h;PLOMELIN;29;J4424900;J442;J44;LOIRE-BRETAGNE;FRGR1635;Validé point par point
ROE3196;Perennou;166612.48;6781099.63;Seuil en rivière;;;Existant;;;;;;;;;;;;;;1.30;2018-10-10;AFB;F. OLLIVIER;;;;;;;;;;;;;;;;;;false;;;false;;;;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;Négatif;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;2012-07-10;;;;;;;Non;;;;;;;;3;;;;;;;;;;;;NR;PLOMELIN;29;J4424600;J442;J44;LOIRE-BRETAGNE;FRGT15;Validé point par point
ROE3198;Moulin de Kersaviou;179989.69;6794368.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;73;;36.42;;;;;;;;;;ruisseau de langelin;LANDUDAL;29;J4214000;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3201;Trolez;180085.29;6797565.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;80;;40.25;;;;;;;;;;ruisseau de langelin;BRIEC;29;J4214500;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3202;Kervogen;179744.56;6798062.62;;;;Détruit partiellement;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;83;;40.25;;;;;;;;;;ruisseau de langelin;BRIEC;29;J4214500;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3203;Quistinic;181014.47;6798267.18;;;;;;;;;;;;;;;;;;1.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;93;;41.56;;;;;;;;;;NR;BRIEC;29;J4214450;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3205;Boixière;180305.02;6800036.73;;;;;;;;;;;;;;;;;;1.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;119;;45.06;;;;;;;;;;ruisseau de langelin;EDERN;29;J4214500;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3208;Ster ar C'hoat;171314.62;6796947.43;Seuil en rivière;Non;Type d'usage inconnu;Existant;;;;GRENELLE;PGA;;;;;;;;;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Autre type de passe;;;;;;;;;;Non;Oui;Oui;Incertaine conformité à examiner;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Anguille"",""Lamproie marine"",""Truite de mer";;;;;;Non;;;;;;;;51;;34.89;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE3209;Coutilly;173299.03;6789458.33;Seuil en rivière;Non;Aucun;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.40;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Saumon atlantique"",""Lamproie marine"",""Anguille";;;;;;Non;;;;;;;;8;;26.53;;;;;;;;;;le jet;ERGUE-GABERIC;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3211;Cleayou;174170.45;6789453.11;Seuil en rivière;Non;Loisirs et sports aquatiques;Existant;;;PAPARCE;GRENELLE;PGA;PLAGEPOMI;;;;;;;;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Passe à bassins successifs;;;;;;;;;;Non;Oui;Oui;Incertaine conformité à examiner;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Lamproie marine"",""Truite de mer"",""Saumon atlantique";;;;;;Non;;;;;;;;9;;26.53;;;;;;;;;;le jet;ERGUE-GABERIC;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3212;Kergonan;175639.97;6789051.70;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Lamproie marine"",""Saumon atlantique"",""Truite de mer";;;;;;Non;;;;;;;;15;;26.53;;;;;;;;;;le jet;QUIMPER;29;J4224001;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3214;Pennarun;176424.88;6789105.39;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Lamproie marine"",""Saumon atlantique"",""Truite de mer";;;;;;Non;;;;;;;;16;;26.53;;;;;;;;;;le jet;ERGUE-GABERIC;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3216;Meïl Dréau;179028.48;6788238.96;Seuil en rivière;Non;Loisirs et sports aquatiques;Existant;;;;;;;;;;;;;;0.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;26;;29.27;;;;;;;;;;NR;SAINT-EVARZEC;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3217;Stang Jet;181961.05;6787373.41;Seuil en rivière;Non;Aucun;Existant;;;;;;;;;;;;;;0.60;;;;;;;;;;;;;;;;;;;;;;;;;;;Passe à bassins successifs;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;36;;33.59;;;;;;;;;;NR;ELLIANT;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE3219;Moulin du Jet;184953.70;6786538.42;;Oui;;;;;;;;;;;;;;;;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;;;;;Non;;;;;;;;48;;35.25;;;;;;;;;;le jet;ELLIANT;29;J4224001;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
