cdobstecou;nomprincip;ouv_coord_x;ouv_coord_y;ouv_type_nom;ouv_usage_energie_hydro;ouv_usages;ouv_etat;ouv_liaison;ouv_ouvrage_lie;demarche_priorisation_1;demarche_priorisation_2;demarche_priorisation_3;demarche_priorisation_4;demarche_priorisation_5;demarche_priorisation_6;demarche_priorisation_7;demarche_priorisation_8;demarche_priorisation_9;niveau_priorisation;commentaire_principal;ouv_hauteur_chute_1;ouv_date_hauteur_chute_1;ouv_operateur_hauteur_chute_1;ouv_precision_hauteur_chute_1;ouv_hauteur_chute_2;ouv_date_hauteur_chute_2;ouv_operateur_hauteur_chute_2;ouv_precision_hauteur_chute_2;ouv_hauteur_chute_3;ouv_date_hauteur_chute_3;ouv_operateur_hauteur_chute_3;ouv_precision_hauteur_chute_3;ouv_hauteur_chute_4;ouv_date_hauteur_chute_4;ouv_operateur_hauteur_chute_4;ouv_precision_hauteur_chute_4;ouv_hauteur_chute_5;ouv_date_hauteur_chute_5;ouv_operateur_hauteur_chute_5;ouv_precision_hauteur_chute_5;hauteur_chute_ICE;ouv_arasement;ouv_date_arasement;conformite_arasement;ouv_derasement;ouv_date_derasement;conformite_ derasement;dispo_franch_piscicole_1;date_mes_dispo_franch_piscicole_1;dispo_franch_piscicole_2;date_mes_dispo_franch_piscicole_2;dispo_franch_piscicole_3;date_mes_dispo_franch_piscicole_3;dispo_franch_piscicole_4;date_mes_dispo_franch_piscicole_4;dispo_franch_piscicole_5;date_mes_dispo_franch_piscicole_5;mesure_corrective_montaison_gestion;mesure_corrective_montaison_equipement;interet_montaison;conformite_montaison;mesure_corrective_devalaison_gestion;mesure_corrective_devalaison_equipement;mesure_corrective_devalaison_turbine;interet_devalaison;conformite_devalaison;mesure_corrective_sediment_gestion;mesure_corrective_sediment_equipement;mesure_corrective_sediment_recharge;mesure_corrective_commentaire;avis_technique_global;commentaire_avis_technique;note_appreciation_montaison_anguille;date_appreciation_montaison_anguille;note_appreciation_montaison_saumon_atlantique;date_appreciation_montaison_saumon_atlantique;note_appreciation_montaison_grande_alose;date_appreciation_montaison_grande_alose;note_appreciation_montaison_alose_feinte;date_appreciation_montaison_alose_feinte;note_appreciation_montaison_lamproie_marine;date_appreciation_montaison_lamproie_marine;note_appreciation_montaison_truite_fario;date_appreciation_montaison_truite_fario;avis_devalaison_anguille;avis_devalaison_saumon_atlantique;avis_continuite_sedimentaire;date_debut_activite;date_fin_activite;variabilité_debit_reserve;debit_reserve;debit_reserve_ICE;debit_minimal_montaison;debit_minimal_devalaison;debit_alimentation_ICE;debit_maximal_autorisé;debit_preleve_ICE;commentaire_debit;longueur_troncon_cc;longueur_troncon_cc_ICE;ecartement_grille;espace_interbarreaux_ICE;cote_retenue_basse;cote_retenue_haute;classement_liste_1;classement_liste_2;date_arrete_classement;especes_cibles;statut_sdage_1;statut_sdage_2;statut_sdage_3;statut_administratif;date_fin_acte;existence_reglement_eau;surface_bv_amont;source_surface_bv;module_cours_d_eau;source_module;surface_bv_amont_irstea;module_cours_d_eau_irstea;robustesse_irstea;altitude;ouvrage_mer;lineaire_aval;surface_retenue;source_surface_retenue;volume_retenue;source_volume_retenue;longueur_remous;source_longueur_remous;chute_naturelle_amont;chute_naturelle_aval;commentaire_contexte;nom_cours_d_eau_topo;commune;departement;code_cours_eau;code_zone_hydro;code_sous_secteur_hydro;nom_bassin_hydro;code_masse_eau;statut_roe
ROE111543;Pont SNCF aval Loscoat;168992.92;6792598.87;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Truite de mer"",""Lamproie marine"",""Anguille";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;20;;25.85;;;;;;;;;;le steïr;QUIMPER;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111544;Pont SNCF amont Loscoat;168715.11;6793182.24;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Truite de mer"",""Lamproie marine"",""Anguille";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;15;;25.85;;;;;;;;;;le steïr;QUIMPER;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111545;Pont SNCF aval Lorette;168259.38;6794418.17;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Saumon atlantique"",""Truite de mer"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;33;;31.94;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111546;Pont SNCF amont Lorette;168653.61;6794629.84;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Saumon atlantique"",""Lamproie marine"",""Anguille";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;28;;31.94;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111561;Pont de Ty Planche;167872.41;6794000.50;Obstacle induit par un pont;;;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Anguille"",""Truite de mer"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;17;;25.85;;;;;;;;;;le steïr;GUENGAT;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111562;Pont du poste de gaz;175298.11;6789231.24;Obstacle induit par un pont;;;Existant;;;;;;;;;;;;;;0.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Lamproie marine"",""Anguille"",""Truite de mer";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;11;;26.53;;;;;;;;;;le jet;ERGUE-GABERIC;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE111563;Pont de Meïl Jet;180726.54;6787684.92;Obstacle induit par un pont;;;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;32;;33.59;;;;;;;;;;le jet;SAINT-YVI;29;J4224000;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE111564;Pisciculture de Pont Marc'Hat;178237.27;6789073.11;Seuil en rivière;;;Existant;;;;;;;;;;;;;;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;Autre type de passe;;;;;;;;;;Non;Non;;;Non;Non;Non;;;Non;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Non;2012-07-10;;;Cours d'eau amphihalin;;;;Non;;;;;;;;26;;27.79;;;;;;;;;;NR;ERGUE-GABERIC;29;J4228500;J422;J42;LOIRE-BRETAGNE;FRGR0083;Validé point par point
ROE111577;Pont SNCF de Pontusquet;169529.81;6795106.98;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Anguille"",""Truite de mer"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;29;;31.94;;;;;;;;;;le steïr;QUIMPER;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111579;Pont SNCF amont D39;169991.49;6795148.61;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Anguille"",""Saumon atlantique"",""Truite de mer";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;31;;31.94;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111582;Pont SNCF de Trogour Izella;170413.49;6795175.45;Obstacle induit par un pont;;;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Truite de mer"",""Anguille";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;31;;31.94;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111585;Pont SNCF de Trogour Huella;170921.74;6795579.12;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Truite de mer"",""Saumon atlantique"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;149.00;3.092;Robuste;38;false;31.94;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111586;Pont SNCF aval Kerolivier;171003.77;6796169.84;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Truite de mer"",""Saumon atlantique"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;45;;33.71;;;;;;;;;;le steïr;PLOGONNEC;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
ROE111588;Pont SNCF amont Kerolivier;171051.43;6796544.20;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Saumon atlantique"",""Truite de mer"",""Lamproie marine";Réservoir biologique;Cours d'eau amphihalin;;;;Non;;;;;;;;69;;33.71;;;;;;;;;;le steïr;QUIMPER;29;J4310300;J431;J43;LOIRE-BRETAGNE;FRGR0084;Validé point par point
